Accession,Title,Sample Type,Taxonomy,Channels,Platform,Series,Supplementary Types,Supplementary Links,SRA Accession,Contact,Release Date
GSM3631355,EXP1_COL01_ROW02,SRA,Mus musculus,1,GPL19057,GSE127235,SRA Run Selector,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX5439703,SRX5439703,Kemal Marc Akat,8-Mar-19
GSM3631356,EXP1_COL01_ROW06,SRA,Mus musculus,1,GPL19057,GSE127235,SRA Run Selector,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX5439704,SRX5439704,Kemal Marc Akat,8-Mar-19
GSM3631357,EXP1_COL01_ROW08,SRA,Mus musculus,1,GPL19057,GSE127235,SRA Run Selector,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX5439705,SRX5439705,Kemal Marc Akat,8-Mar-19
GSM3631358,EXP1_COL01_ROW09,SRA,Mus musculus,1,GPL19057,GSE127235,SRA Run Selector,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX5439706,SRX5439706,Kemal Marc Akat,8-Mar-19
GSM3631359,EXP1_COL01_ROW11,SRA,Mus musculus,1,GPL19057,GSE127235,SRA Run Selector,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX5439707,SRX5439707,Kemal Marc Akat,8-Mar-19
GSM3631360,EXP1_COL01_ROW17,SRA,Mus musculus,1,GPL19057,GSE127235,SRA Run Selector,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX5439708,SRX5439708,Kemal Marc Akat,8-Mar-19
GSM3631361,EXP1_COL01_ROW18,SRA,Mus musculus,1,GPL19057,GSE127235,SRA Run Selector,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX5439709,SRX5439709,Kemal Marc Akat,8-Mar-19
GSM3631362,EXP1_COL01_ROW20,SRA,Mus musculus,1,GPL19057,GSE127235,SRA Run Selector,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX5439710,SRX5439710,Kemal Marc Akat,8-Mar-19
GSM3631363,EXP1_COL01_ROW22,SRA,Mus musculus,1,GPL19057,GSE127235,SRA Run Selector,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX5439711,SRX5439711,Kemal Marc Akat,8-Mar-19
GSM3631364,EXP1_COL01_ROW23,SRA,Mus musculus,1,GPL19057,GSE127235,SRA Run Selector,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX5439712,SRX5439712,Kemal Marc Akat,8-Mar-19
