Run,Age,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,cell_count,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,Genotype,GEO_Accession (exp),Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,source_name,SRA Study,strain,treatment
SRR8641413,Postnatal week 10,RNA-Seq,120,7509000,PRJNA524496,SAMN11027344,4000862,0,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5439703,Nos3-/-,GSM3631355,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2019-03-10T00:00:00Z,GSM3631355,"single-cell suspension from whole glomerulus\, kidney",SRP187015,C57BL/6,Control
SRR8641414,Postnatal week 10,RNA-Seq,120,7381080,PRJNA524496,SAMN11027343,3933361,0,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5439704,Nos3-/-,GSM3631356,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2019-03-10T00:00:00Z,GSM3631356,"single-cell suspension from whole glomerulus\, kidney",SRP187015,C57BL/6,Control
SRR8641415,Postnatal week 10,RNA-Seq,120,7446960,PRJNA524496,SAMN11027399,3968808,0,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5439705,Nos3-/-,GSM3631357,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2019-03-10T00:00:00Z,GSM3631357,"single-cell suspension from whole glomerulus\, kidney",SRP187015,C57BL/6,Control
SRR8641416,Postnatal week 10,RNA-Seq,120,6856440,PRJNA524496,SAMN11027398,3642431,0,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5439706,Nos3-/-,GSM3631358,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2019-03-10T00:00:00Z,GSM3631358,"single-cell suspension from whole glomerulus\, kidney",SRP187015,C57BL/6,Control
SRR8641417,Postnatal week 10,RNA-Seq,120,6818880,PRJNA524496,SAMN11027397,3630222,0,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5439707,Nos3-/-,GSM3631359,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2019-03-10T00:00:00Z,GSM3631359,"single-cell suspension from whole glomerulus\, kidney",SRP187015,C57BL/6,Control
SRR8641418,Postnatal week 10,RNA-Seq,120,10119600,PRJNA524496,SAMN11027396,5336831,0,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5439708,Nos3-/-,GSM3631360,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2019-03-10T00:00:00Z,GSM3631360,"single-cell suspension from whole glomerulus\, kidney",SRP187015,C57BL/6,Control
SRR8641419,Postnatal week 10,RNA-Seq,120,4880160,PRJNA524496,SAMN11027395,2623949,0,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5439709,Nos3-/-,GSM3631361,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2019-03-10T00:00:00Z,GSM3631361,"single-cell suspension from whole glomerulus\, kidney",SRP187015,C57BL/6,Control
SRR8641420,Postnatal week 10,RNA-Seq,120,5727960,PRJNA524496,SAMN11027394,3058300,0,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5439710,Nos3-/-,GSM3631362,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2019-03-10T00:00:00Z,GSM3631362,"single-cell suspension from whole glomerulus\, kidney",SRP187015,C57BL/6,Control
SRR8641421,Postnatal week 10,RNA-Seq,120,5081040,PRJNA524496,SAMN11027393,2728364,0,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5439711,Nos3-/-,GSM3631363,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2019-03-10T00:00:00Z,GSM3631363,"single-cell suspension from whole glomerulus\, kidney",SRP187015,C57BL/6,Control
SRR8641422,Postnatal week 10,RNA-Seq,120,3054720,PRJNA524496,SAMN11027392,1676778,0,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5439712,Nos3-/-,GSM3631364,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2019-03-10T00:00:00Z,GSM3631364,"single-cell suspension from whole glomerulus\, kidney",SRP187015,C57BL/6,Control
